GA ID,SURV_CODE,SURVEY_NAME,DATA_TYPE,VESSEL,START_DATE,END_DATE,START_PORT,END_PORT,DATA_OWNER,SYSTEM,TVU,Licence
,Coast_Queensland,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,https://www.arcgis.com/home/item.html?id=f0ceb8af000a4ffbae75d742538c548b
,Coast_SolomonIslands,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,https://www.arcgis.com/home/item.html?id=f0ceb8af000a4ffbae75d742538c548b
,Coast_SouthAustralia,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_Tasmania,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_Tasmania,NSF,coastline near surface feature,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_TimorLeste,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,https://www.arcgis.com/home/item.html?id=f0ceb8af000a4ffbae75d742538c548b
,Coast_Vanuatu,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,https://www.arcgis.com/home/item.html?id=f0ceb8af000a4ffbae75d742538c548b
,Coast_Victoria,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_Victoria,NSF,coastline near surface feature,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_WesternAustralia,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,CoralSea,CableSystem,multibeam,RV Ridley Thomas,unknown,unknown,Honiara,Sydney,Australian Aid,Kongsberg EM122 (12 kHz),IHO S44 1b,
GA0277,CRC012004,FitzroyRiver,multibeam,Rum Rambler,20/09/2004,26/09/2004,Gladstone,Gladstone,Coastal CRC,Reson 8125 (455 kHz),IHO S44 1b,Geoscience Australia
,CRCSI2011,Sunshine,lidar,LADS,29/10/2011,11/11/2011,Marcoola,Marcoola,CRCSI,LADS3,IHO S44 1b,State of Queensland
GA0333,D110219,InnerDarwinHarbour,multibeam,Matthew Flinders,24/06/2011,20/08/2011,Darwin,Darwin,AIMS/DPC/GA,Kongsberg EM3002D (300 kHz),IHO S44 1b,Geoscience Australia
,DERM,Queensland,singlebeam,various,unknown,unknown,unknown,unknown,DERM,unknown,IHO S44 2,Queensland DES
,ENCNewZealand,Depth,depth,na,na,na,na,na,NIWA,random points to NZ2016 grid,IHO S44 1b,CCBy4.0 National Institute of Water and Atmospheric Research Ltd
,ENCNewZealand,Elevation,elevation,na,na,na,na,na,NIWA,random points to NZ2016 grid,IHO S44 1b,CCBy4.0 National Institute of Water and Atmospheric Research Ltd
,EOMAP,AshmoreReef,SDB,Sentinal2,20/11/2022,20/11/2022,na,na,GA,physics,15% + 0.5,GA maritime boundaries
,EOMAP,BrowseIsland,SDB,Sentinal2,20/11/2022,20/11/2022,na,na,GA,physics,15% + 0.5,GA maritime boundaries
,EOMAP,CartierIsland,SDB,Sentinal2,20/11/2022,20/11/2022,na,na,GA,physics,15% + 0.5,GA maritime boundaries
,EOMAP,ClerkeReef,SDB,Sentinal2,20/11/2022,20/11/2022,na,na,GA,physics,15% + 0.5,GA maritime boundaries
,EOMAP,CunninghamIs,SDB,Sentinal2,20/11/2022,20/11/2022,na,na,GA,physics,15% + 0.5,GA maritime boundaries
,EOMAP,MermaidReef,SDB,Sentinal2,20/11/2022,20/11/2022,na,na,GA,physics,15% + 0.5,GA maritime boundaries
,EOMAP,ScottReef,SDB,Sentinal2,20/11/2022,20/11/2022,na,na,GA,physics,15% + 0.5,GA maritime boundaries
,EOMAP,KimberleyCoast,SDB,Sentinal2,20/11/2022,20/11/2022,na,na,GA,physics,15% + 0.5,GA maritime boundaries
,EOMAP,SolomonIslands,SDB,Sentinal2,17/03/2021,17/03/2021,na,na,GA,physics,15% + 0.5,GA maritime boundaries
GA2391,EW0002,WoodlarkBasin,multibeam,RV Maurice Ewing,5/02/2000,28/02/2000,Lyttleton,Suva,LDEO,Thompson Marconi TSM 5265,IHO S44 1b,Geoscience Australia
GA1212,EW9203,WoodlarkBasin,multibeam,RV Ewing,17/03/1992,24/04/1992,Gladstone,Papeete,LDEO,Atlas Hydrosweep (16 kHz),IHO S44 1b,Geoscience Australia
